timestamp,pair,open,high,low,close,volume,lower_band,middle_band,upper_band,bb_touch_strength,bb_position,bb_width_pct,rsi_value,rsi_divergence,volume_ratio,candle_rejection,candle_body_pct,atr_pct,trend_strength,prev_candle_body_pct,prev_volume_ratio,gap_from_prev_close,price_momentum,prev_was_selloff,previous_touches,time_since_last_touch,support_distance_pct,session
2011.03.23 00:00:00,EURUSD,1.419820,1.421400,1.407670,1.409620,73220,1.372371,1.396966,1.421561,1.025721,0.757252,3.521145,61.116035,0,1.101086,-0.191176,-0.723599,0.823255,2.577571,-0.146498,0.987028,0.000704,-0.720089,0,0,30,23.383607,3
2011.03.24 00:00:00,EURUSD,1.409590,1.421890,1.405340,1.417190,69066,1.373907,1.398797,1.423687,1.022879,0.869483,3.558796,64.541666,0,1.040244,-0.559211,0.536272,0.843783,2.591678,-0.723599,1.101086,-0.002128,-0.165522,0,0,31,23.792858,3
2011.03.25 00:00:00,EURUSD,1.417170,1.419300,1.405480,1.408680,66352,1.377099,1.400346,1.423593,1.020610,0.679246,3.320234,58.321305,0,1.009574,-0.376914,-0.602692,0.858321,2.628755,0.536272,1.040244,-0.001411,0.009962,0,0,32,23.332481,3
2011.03.28 00:00:00,EURUSD,1.404630,1.411490,1.402040,1.408620,58737,1.378860,1.401455,1.424050,1.016811,0.658552,3.224518,58.278658,0,0.903670,-0.649123,0.283256,0.844966,2.644556,-0.602692,1.009574,-0.287503,-0.244756,0,0,33,23.329216,3
2011.03.29 00:00:00,EURUSD,1.408630,1.414840,1.404690,1.411230,61593,1.379295,1.402173,1.425051,1.018411,0.697945,3.263154,59.660531,0,0.957409,-1.515385,0.184236,0.834534,2.653735,0.283256,0.903670,0.000710,0.189010,0,0,34,23.471015,3
2011.03.30 00:00:00,EURUSD,1.411230,1.414640,1.405160,1.412770,68236,1.379613,1.402880,1.426146,1.018518,0.712545,3.317018,60.492026,0,1.054255,-3.941558,0.109006,0.822010,2.666736,0.184236,0.957409,0.000000,0.033459,0,0,35,23.554436,3
2011.03.31 00:00:00,EURUSD,1.412740,1.423190,1.411570,1.415650,69993,1.379909,1.403731,1.427552,1.022944,0.750185,3.394005,62.066755,0,1.025930,-0.402062,0.205559,0.820372,2.697372,0.109006,1.054255,-0.002123,0.456176,0,0,36,23.709957,3
2011.04.01 00:00:00,EURUSD,1.415690,1.424480,1.406140,1.423280,68385,1.380028,1.405063,1.430097,1.018922,0.863844,3.563514,65.940060,0,1.005416,-1.258235,0.533275,0.849731,2.726877,0.205559,1.025930,0.002826,-0.384678,0,0,37,24.118937,3
2011.04.02 00:00:00,EURUSD,1.423270,1.423440,1.423250,1.423440,17,1.381409,1.406715,1.432020,1.030289,0.830470,3.597830,66.018419,0,0.000264,-0.117647,0.011943,0.789901,2.761971,0.533275,1.005416,-0.000703,1.216806,0,0,38,24.127466,3
2011.04.04 00:00:00,EURUSD,1.423120,1.426770,1.419250,1.421970,59798,1.383257,1.408277,1.433297,1.026020,0.773644,3.553246,64.549107,0,0.935061,-2.365217,-0.080874,0.772012,2.778874,0.011943,0.000264,-0.022481,-0.281047,0,0,39,24.049031,3
